,order_id,in_progress,picked,started_dispatch,in_dispatch_buffer,packed,dispatched,order_aborted,order_created_at,delivery_schedule,trip_id,num_of_lines
0,2196242,2019-06-10 07:47:39,2019-06-10 07:54:45,2019-06-10 16:04:06,2019-06-10 16:10:43,2019-06-10 16:12:43,2019-06-10 18:21:11,,2019-06-10 05:48:30,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0
1,2196257,2019-06-10 16:04:27,2019-06-10 16:22:24,2019-06-10 16:26:40,2019-06-10 16:30:34,2019-06-10 16:32:16,2019-06-10 18:21:27,,2019-06-10 16:04:27,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0
2,2196264,2019-06-11 08:51:24,2019-06-11 08:59:03,2019-06-11 08:59:08,2019-06-11 09:17:23,2019-06-11 09:40:58,2019-06-11 17:52:39,,2019-06-11 08:45:30,2019-06-11 18:00:00,s_2019-06-11_21:00,1.0
3,2196274,2019-06-11 10:39:54,2019-06-11 10:46:33,2019-06-11 10:51:08,2019-06-11 11:08:23,2019-06-11 11:11:18,2019-06-11 17:52:43,,2019-06-11 10:27:29,2019-06-11 18:00:00,s_2019-06-11_21:00,2.0
4,2196285,2019-06-12 09:42:21,2019-06-12 09:48:56,2019-06-12 09:49:16,2019-06-12 09:50:24,2019-06-12 10:24:33,2019-06-12 16:14:51,,2019-06-12 06:21:18,2019-06-12 14:00:00,z_2019-06-12_17:00,1.0
5,2196295,2019-06-12 09:57:56,2019-06-12 11:15:36,2019-06-12 11:36:22,2019-06-12 11:39:07,2019-06-12 11:51:10,2019-06-12 18:22:00,,2019-06-12 09:07:55,2019-06-12 18:00:00,s_2019-06-12_21:00,5.0
6,2196308,2019-06-13 06:33:07,2019-06-13 06:46:41,2019-06-13 06:48:27,2019-06-13 06:49:49,2019-06-13 06:52:21,2019-06-13 13:00:34,,2019-06-13 06:12:54,2019-06-13 10:00:00,l_2019-06-13_13:00,8.0
7,2234738,2019-06-10 09:12:41,2019-06-10 09:26:31,2019-06-10 10:59:32,2019-06-10 11:02:13,2019-06-10 11:04:40,2019-06-10 18:21:11,,2019-06-10 00:48:28,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0
8,2234747,2019-06-10 09:13:05,2019-06-10 09:22:42,2019-06-10 15:43:01,2019-06-10 15:50:29,2019-06-10 15:50:57,2019-06-10 18:21:10,,2019-06-10 02:43:28,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0
9,2234750,2019-06-10 09:16:00,2019-06-10 09:16:00,2019-06-10 16:03:50,2019-06-10 16:08:12,2019-06-10 16:12:09,2019-06-10 18:21:26,,2019-06-10 03:01:28,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0
10,2234761,2019-06-10 09:16:01,2019-06-10 09:23:58,2019-06-10 10:55:07,2019-06-10 11:00:01,2019-06-10 11:03:18,2019-06-10 18:21:11,,2019-06-10 04:15:33,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0
11,2234763,2019-06-10 06:52:58,2019-06-10 07:21:02,2019-06-10 07:30:03,2019-06-10 07:34:36,2019-06-10 07:36:20,2019-06-10 16:29:21,,2019-06-10 04:22:29,2019-06-10 14:00:00,z_2019-06-10_17:00,9.0
12,2234785,2019-06-10 09:16:15,2019-06-10 09:23:27,2019-06-10 14:55:08,2019-06-10 14:59:51,2019-06-10 15:00:33,2019-06-10 18:21:12,,2019-06-10 05:18:42,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0
13,2234794,2019-06-10 09:16:31,2019-06-10 12:08:50,2019-06-10 14:58:19,2019-06-10 15:01:48,2019-06-10 15:06:07,2019-06-10 18:21:12,,2019-06-10 05:31:29,2019-06-10 18:00:00,s_2019-06-10_21:00,21.0
14,2234796,2019-06-10 07:00:23,2019-06-10 07:17:29,2019-06-10 07:33:28,2019-06-10 07:40:33,2019-06-10 07:42:29,2019-06-10 16:29:21,,2019-06-10 05:32:29,2019-06-10 14:00:00,z_2019-06-10_17:00,15.0
15,2234827,2019-06-10 06:21:07,2019-06-10 06:32:34,2019-06-10 07:03:33,2019-06-10 07:11:29,2019-06-10 07:16:11,2019-06-10 20:16:38,,2019-06-10 06:10:36,2019-06-10 10:00:00,l_2019-06-10_13:00,4.0
16,2234836,2019-06-10 07:02:03,2019-06-10 07:11:28,2019-06-10 09:35:05,2019-06-10 09:42:23,2019-06-10 09:46:02,2019-06-10 16:29:21,,2019-06-10 06:21:29,2019-06-10 14:00:00,z_2019-06-10_17:00,13.0
17,2234837,2019-06-10 09:17:15,2019-06-10 09:28:13,2019-06-10 10:09:14,2019-06-10 10:12:41,2019-06-10 10:48:19,2019-06-10 18:21:13,,2019-06-10 06:23:29,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0
18,2234846,2019-06-10 07:08:53,2019-06-10 07:13:12,2019-06-10 09:34:05,2019-06-10 09:39:33,2019-06-10 09:41:15,2019-06-10 16:29:22,,2019-06-10 06:43:29,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0
19,2234854,2019-06-10 06:56:23,2019-06-10 07:08:40,2019-06-10 07:11:33,2019-06-10 07:17:04,2019-06-10 07:22:15,2019-06-10 20:16:39,,2019-06-10 06:54:44,2019-06-10 10:00:00,l_2019-06-10_13:00,10.0
20,2234868,2019-06-10 07:13:58,2019-06-10 07:23:32,2019-06-10 07:25:21,2019-06-10 07:33:23,2019-06-10 07:34:41,2019-06-10 16:29:22,,2019-06-10 07:13:30,2019-06-10 14:00:00,z_2019-06-10_17:00,11.0
21,2234876,2019-06-10 09:18:44,2019-06-10 09:28:50,2019-06-10 16:15:35,2019-06-10 16:20:41,2019-06-10 16:26:43,2019-06-10 18:21:13,,2019-06-10 07:23:29,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0
22,2234886,2019-06-10 09:21:05,2019-06-10 12:22:16,2019-06-10 16:16:05,2019-06-10 16:20:11,2019-06-10 16:25:57,2019-06-10 18:21:26,,2019-06-10 07:41:30,2019-06-10 18:00:00,s_2019-06-10_21:00,11.0
23,2234889,2019-06-10 07:43:54,2019-06-10 08:03:13,2019-06-10 08:56:00,2019-06-10 09:04:17,2019-06-10 09:08:35,2019-06-10 16:29:22,,2019-06-10 07:41:40,2019-06-10 14:00:00,z_2019-06-10_17:00,3.0
24,2234909,2019-06-10 08:11:54,2019-06-10 09:15:59,2019-06-10 10:46:20,2019-06-10 11:07:09,2019-06-10 11:08:16,2019-06-10 16:29:23,,2019-06-10 08:11:31,2019-06-10 14:00:00,z_2019-06-10_17:00,8.0
25,2234915,2019-06-10 08:33:45,2019-06-10 08:39:48,2019-06-10 10:49:40,2019-06-10 11:07:41,2019-06-10 11:11:49,2019-06-10 16:29:23,,2019-06-10 08:22:32,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0
26,2234917,2019-06-10 08:34:06,2019-06-10 09:08:55,2019-06-10 10:09:19,2019-06-10 10:38:15,2019-06-10 10:44:11,2019-06-10 16:29:26,,2019-06-10 08:26:30,2019-06-10 14:00:00,z_2019-06-10_17:00,23.0
27,2234956,2019-06-10 09:31:20,2019-06-10 11:52:06,2019-06-10 11:52:16,2019-06-10 12:09:50,2019-06-10 12:14:17,2019-06-10 16:29:23,,2019-06-10 09:27:30,2019-06-10 14:00:00,z_2019-06-10_17:00,17.0
28,2234972,2019-06-10 10:05:13,2019-06-10 10:15:28,2019-06-10 10:40:21,2019-06-10 10:49:59,2019-06-10 10:54:23,2019-06-10 18:21:16,,2019-06-10 09:54:27,2019-06-10 18:00:00,s_2019-06-10_21:00,9.0
29,2234980,2019-06-10 10:16:30,2019-06-10 11:53:56,2019-06-10 12:08:03,2019-06-10 12:33:08,2019-06-10 12:42:21,2019-06-10 16:29:26,,2019-06-10 10:15:27,2019-06-10 14:00:00,z_2019-06-10_17:00,14.0
30,2234996,2019-06-10 10:40:52,2019-06-10 10:51:23,2019-06-10 11:06:59,2019-06-10 11:09:19,2019-06-10 11:12:37,2019-06-10 16:29:25,,2019-06-10 10:34:27,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0
31,2235615,2019-06-10 10:57:58,2019-06-10 11:08:25,2019-06-10 11:15:56,2019-06-10 11:21:22,2019-06-10 11:22:59,2019-06-10 18:21:12,,2019-06-10 05:08:28,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0
32,2235640,2019-06-10 11:00:58,2019-06-10 11:14:16,2019-06-10 11:16:17,2019-06-10 11:21:40,2019-06-10 11:23:49,2019-06-10 18:21:17,,2019-06-10 06:01:30,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0
33,2235641,2019-06-10 11:01:13,2019-06-10 11:12:30,2019-06-10 11:17:22,2019-06-10 11:23:00,2019-06-10 11:25:20,2019-06-10 18:21:13,,2019-06-10 06:02:29,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0
34,2235648,2019-06-10 11:05:45,2019-06-10 11:14:41,2019-06-10 11:30:38,2019-06-10 11:39:29,2019-06-10 11:41:07,2019-06-10 18:21:10,,2019-06-10 06:12:30,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0
35,2235660,2019-06-10 06:32:37,2019-06-10 07:08:03,2019-06-10 07:43:04,2019-06-10 07:51:43,2019-06-10 08:00:01,2019-06-10 20:16:38,,2019-06-10 06:31:30,2019-06-10 10:00:00,l_2019-06-10_13:00,19.0
36,2235662,2019-06-10 11:06:14,2019-06-10 11:15:06,2019-06-10 14:57:53,2019-06-10 15:01:22,2019-06-10 15:01:36,2019-06-10 18:21:13,,2019-06-10 06:31:40,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0
37,2235663,2019-06-10 11:06:19,2019-06-10 11:16:03,2019-06-10 11:21:05,2019-06-10 11:22:42,2019-06-10 11:24:18,2019-06-10 18:21:12,,2019-06-10 06:35:38,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0
38,2235695,2019-06-10 11:06:34,2019-06-10 11:22:40,2019-06-10 11:22:44,2019-06-10 11:25:34,2019-06-10 11:27:02,2019-06-10 18:21:13,,2019-06-10 07:27:31,2019-06-10 18:00:00,s_2019-06-10_21:00,5.0
39,2235698,2019-06-10 07:36:18,2019-06-10 07:42:29,2019-06-10 07:43:09,2019-06-10 08:07:09,2019-06-10 08:18:52,2019-06-10 16:29:21,,2019-06-10 07:32:30,2019-06-10 14:00:00,z_2019-06-10_17:00,3.0
40,2235703,2019-06-10 11:10:10,2019-06-10 11:10:10,2019-06-10 17:02:17,2019-06-10 17:05:31,2019-06-10 17:08:10,2019-06-10 18:21:12,,2019-06-10 07:39:30,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0
41,2235710,2019-06-10 07:56:59,2019-06-10 08:08:49,2019-06-10 10:09:14,2019-06-10 10:38:03,2019-06-10 10:40:01,2019-06-10 16:29:24,,2019-06-10 07:54:31,2019-06-10 14:00:00,z_2019-06-10_17:00,5.0
42,2235717,2019-06-10 08:02:49,2019-06-10 08:21:33,2019-06-10 08:22:09,2019-06-10 09:03:16,2019-06-10 09:07:22,2019-06-10 16:29:23,,2019-06-10 08:00:37,2019-06-10 14:00:00,z_2019-06-10_17:00,7.0
43,2235725,2019-06-10 11:10:10,2019-06-10 12:21:16,2019-06-10 12:35:48,2019-06-10 12:48:25,2019-06-10 12:51:45,2019-06-10 18:21:13,,2019-06-10 08:20:38,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0
44,2235749,2019-06-10 08:59:40,2019-06-10 09:08:19,2019-06-10 09:08:36,2019-06-10 09:12:40,2019-06-10 09:24:55,2019-06-10 20:16:40,,2019-06-10 08:57:31,2019-06-10 10:00:00,l_2019-06-10_13:00,5.0
45,2235768,2019-06-10 11:14:26,2019-06-10 11:30:44,2019-06-10 11:35:36,2019-06-10 11:39:57,2019-06-10 11:42:09,2019-06-10 18:21:15,,2019-06-10 09:21:31,2019-06-10 18:00:00,s_2019-06-10_21:00,11.0
46,2235780,2019-06-10 11:14:32,2019-06-10 11:20:50,2019-06-10 11:21:24,2019-06-10 11:25:08,2019-06-10 11:26:08,2019-06-10 18:21:14,,2019-06-10 09:33:31,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0
47,2235781,2019-06-10 11:14:49,2019-06-10 11:26:31,2019-06-10 11:27:48,2019-06-10 11:30:11,2019-06-10 11:35:44,2019-06-10 18:21:17,,2019-06-10 09:34:32,2019-06-10 18:00:00,s_2019-06-10_21:00,12.0
48,2235790,2019-06-10 11:21:44,2019-06-10 11:47:22,2019-06-10 11:51:28,2019-06-10 12:34:29,2019-06-10 12:45:11,2019-06-10 18:21:19,,2019-06-10 09:49:32,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0
