,order_id,in_progress,picked,started_dispatch,in_dispatch_buffer,packed,dispatched,order_aborted,order_created_at,delivery_schedule,trip_id,num_of_lines,pr_time
0,2196242,2019-06-10 07:47:39,2019-06-10 07:54:45,2019-06-10 16:04:06,2019-06-10 16:10:43,2019-06-10 16:12:43,2019-06-10 18:21:11,,2019-06-10 05:48:30,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 12:32:41
1,2196257,2019-06-10 16:04:27,2019-06-10 16:22:24,2019-06-10 16:26:40,2019-06-10 16:30:34,2019-06-10 16:32:16,2019-06-10 18:21:27,,2019-06-10 16:04:27,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0,0 days 02:17:00
2,2196264,2019-06-11 08:51:24,2019-06-11 08:59:03,2019-06-11 08:59:08,2019-06-11 09:17:23,2019-06-11 09:40:58,2019-06-11 17:52:39,,2019-06-11 08:45:30,2019-06-11 18:00:00,s_2019-06-11_21:00,1.0,0 days 09:07:09
3,2196274,2019-06-11 10:39:54,2019-06-11 10:46:33,2019-06-11 10:51:08,2019-06-11 11:08:23,2019-06-11 11:11:18,2019-06-11 17:52:43,,2019-06-11 10:27:29,2019-06-11 18:00:00,s_2019-06-11_21:00,2.0,0 days 07:25:14
4,2196285,2019-06-12 09:42:21,2019-06-12 09:48:56,2019-06-12 09:49:16,2019-06-12 09:50:24,2019-06-12 10:24:33,2019-06-12 16:14:51,,2019-06-12 06:21:18,2019-06-12 14:00:00,z_2019-06-12_17:00,1.0,0 days 09:53:33
5,2196295,2019-06-12 09:57:56,2019-06-12 11:15:36,2019-06-12 11:36:22,2019-06-12 11:39:07,2019-06-12 11:51:10,2019-06-12 18:22:00,,2019-06-12 09:07:55,2019-06-12 18:00:00,s_2019-06-12_21:00,5.0,0 days 09:14:05
6,2196308,2019-06-13 06:33:07,2019-06-13 06:46:41,2019-06-13 06:48:27,2019-06-13 06:49:49,2019-06-13 06:52:21,2019-06-13 13:00:34,,2019-06-13 06:12:54,2019-06-13 10:00:00,l_2019-06-13_13:00,8.0,0 days 06:47:40
7,2234738,2019-06-10 09:12:41,2019-06-10 09:26:31,2019-06-10 10:59:32,2019-06-10 11:02:13,2019-06-10 11:04:40,2019-06-10 18:21:11,,2019-06-10 00:48:28,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 17:32:43
8,2234747,2019-06-10 09:13:05,2019-06-10 09:22:42,2019-06-10 15:43:01,2019-06-10 15:50:29,2019-06-10 15:50:57,2019-06-10 18:21:10,,2019-06-10 02:43:28,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 15:37:42
9,2234750,2019-06-10 09:16:00,2019-06-10 09:16:00,2019-06-10 16:03:50,2019-06-10 16:08:12,2019-06-10 16:12:09,2019-06-10 18:21:26,,2019-06-10 03:01:28,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 15:19:58
